,SK_ID_CURR,Credit Score
0,100001,599.0
1,100005,666.0
2,100013,515.0
3,100028,556.0
4,100038,607.0
5,100042,528.0
6,100057,539.0
7,100065,671.0
8,100066,587.0
9,100067,555.0
10,100074,550.0
11,100090,658.0
12,100091,613.0
13,100092,555.0
14,100106,590.0
15,100107,597.0
16,100109,610.0
17,100117,508.0
18,100128,592.0
19,100141,615.0
20,100150,589.0
21,100168,550.0
22,100169,752.0
23,100170,564.0
24,100171,509.0
25,100172,649.0
26,100184,659.0
27,100187,532.0
28,100212,522.0
29,100222,627.0
30,100223,558.0
31,100232,579.0
32,100241,696.0
33,100245,519.0
34,100253,542.0
35,100256,647.0
36,100271,444.0
37,100278,622.0
38,100280,558.0
39,100306,699.0
40,100311,653.0
41,100312,566.0
42,100330,570.0
43,100331,557.0
44,100352,505.0
45,100358,587.0
46,100367,525.0
47,100382,621.0
48,100384,651.0
49,100385,607.0
50,100386,637.0
51,100399,511.0
52,100404,554.0
53,100416,510.0
54,100422,575.0
55,100426,558.0
56,100438,569.0
57,100444,582.0
58,100445,694.0
59,100446,647.0
60,100447,568.0
61,100450,600.0
62,100466,543.0
63,100483,535.0
64,100484,506.0
65,100494,573.0
66,100510,652.0
67,100512,575.0
68,100517,503.0
69,100548,646.0
70,100551,568.0
71,100552,591.0
72,100553,555.0
73,100561,591.0
74,100568,717.0
75,100569,565.0
76,100591,593.0
77,100592,594.0
78,100602,636.0
79,100607,527.0
80,100613,610.0
81,100617,661.0
82,100618,593.0
83,100622,635.0
84,100625,593.0
85,100677,592.0
86,100699,570.0
87,100702,693.0
88,100711,581.0
89,100729,593.0
90,100740,687.0
91,100744,681.0
92,100745,556.0
93,100747,613.0
94,100751,604.0
95,100752,586.0
96,100753,664.0
97,100754,599.0
98,100760,571.0
99,100762,603.0
100,100763,588.0
101,100765,542.0
102,100770,614.0
103,100772,555.0
104,100777,514.0
105,100791,571.0
106,100792,521.0
107,100797,534.0
108,100823,595.0
109,100826,602.0
110,100830,507.0
111,100836,641.0
112,100872,513.0
113,100910,620.0
114,100913,599.0
115,100918,590.0
116,100931,533.0
117,100952,552.0
118,100953,571.0
119,100965,647.0
120,100970,613.0
121,100982,649.0
122,100983,572.0
123,100984,579.0
124,100987,536.0
125,100997,626.0
126,100998,583.0
127,101002,637.0
128,101005,646.0
129,101008,723.0
130,101020,622.0
131,101021,585.0
132,101024,525.0
133,101025,629.0
134,101026,594.0
135,101031,551.0
136,101041,621.0
137,101051,524.0
138,101055,657.0
139,101056,689.0
140,101057,604.0
141,101064,498.0
142,101079,662.0
143,101087,571.0
144,101090,588.0
145,101092,587.0
146,101097,646.0
147,101099,532.0
148,101107,589.0
149,101118,601.0
150,101125,589.0
151,101126,537.0
152,101128,509.0
153,101136,693.0
154,101140,655.0
155,101149,720.0
156,101160,648.0
157,101169,563.0
158,101181,530.0
159,101186,589.0
160,101190,608.0
161,101193,664.0
162,101194,592.0
163,101198,649.0
164,101200,578.0
165,101204,469.0
166,101211,525.0
167,101213,594.0
168,101223,588.0
169,101225,653.0
170,101237,643.0
171,101243,618.0
172,101244,647.0
173,101258,570.0
174,101259,673.0
175,101268,640.0
176,101269,541.0
177,101271,665.0
178,101279,594.0
179,101281,683.0
180,101287,612.0
181,101292,617.0
182,101294,564.0
183,101296,584.0
184,101297,586.0
185,101299,609.0
186,101301,636.0
187,101305,601.0
188,101308,603.0
189,101318,581.0
190,101327,625.0
191,101329,576.0
192,101332,607.0
193,101337,559.0
194,101343,527.0
195,101345,666.0
196,101346,485.0
197,101353,451.0
198,101354,691.0
199,101355,601.0
200,101356,564.0
201,101362,659.0
202,101363,628.0
203,101365,548.0
204,101366,661.0
205,101367,739.0
206,101368,584.0
207,101374,675.0
208,101380,531.0
209,101383,511.0
210,101398,552.0
211,101399,612.0
212,101401,618.0
213,101412,620.0
214,101426,534.0
215,101427,726.0
216,101428,627.0
217,101429,687.0
218,101434,540.0
219,101440,644.0
220,101448,626.0
221,101449,639.0
222,101465,612.0
223,101467,556.0
224,101472,633.0
225,101478,622.0
226,101497,573.0
227,101504,605.0
228,101547,623.0
229,101548,612.0
230,101555,603.0
231,101570,578.0
232,101572,664.0
233,101578,636.0
234,101580,696.0
235,101588,584.0
236,101602,620.0
237,101610,574.0
238,101614,538.0
239,101616,614.0
240,101643,610.0
241,101644,505.0
242,101649,611.0
243,101650,591.0
244,101665,483.0
245,101667,691.0
246,101669,609.0
247,101674,662.0
248,101675,715.0
249,101678,608.0
250,101682,721.0
251,101686,580.0
252,101697,618.0
253,101700,638.0
254,101711,572.0
255,101714,644.0
256,101715,677.0
257,101728,627.0
258,101732,616.0
259,101757,594.0
260,101758,608.0
261,101759,579.0
262,101762,614.0
263,101764,597.0
264,101780,660.0
265,101784,500.0
266,101789,504.0
267,101816,680.0
268,101819,570.0
269,101827,585.0
270,101863,586.0
271,101867,629.0
272,101870,611.0
273,101873,645.0
274,101878,545.0
275,101879,506.0
276,101880,477.0
277,101887,618.0
278,101897,605.0
279,101901,650.0
280,101903,726.0
281,101920,519.0
282,101921,594.0
283,101922,547.0
284,101961,699.0
285,101962,491.0
286,101971,584.0
287,101976,696.0
288,102002,564.0
289,102005,531.0
290,102007,653.0
291,102017,551.0
292,102019,630.0
293,102029,502.0
294,102051,641.0
295,102052,538.0
296,102054,519.0
297,102062,569.0
298,102067,651.0
299,102068,544.0
300,102070,650.0
301,102090,617.0
302,102092,655.0
303,102099,605.0
304,102100,622.0
305,102112,642.0
306,102113,616.0
307,102122,619.0
308,102123,586.0
309,102125,559.0
310,102126,612.0
311,102146,605.0
312,102147,636.0
313,102151,532.0
314,102158,582.0
315,102159,579.0
316,102162,653.0
317,102165,564.0
318,102166,605.0
319,102174,596.0
320,102193,614.0
321,102198,526.0
322,102205,592.0
323,102206,518.0
324,102218,552.0
325,102221,608.0
326,102230,607.0
327,102238,545.0
328,102248,536.0
329,102252,634.0
330,102259,626.0
331,102262,604.0
332,102273,579.0
333,102286,656.0
334,102293,526.0
335,102294,610.0
336,102296,599.0
337,102298,578.0
338,102303,536.0
339,102309,590.0
340,102315,631.0
341,102340,560.0
342,102342,638.0
343,102344,674.0
344,102346,527.0
345,102347,554.0
346,102374,539.0
347,102380,561.0
348,102387,569.0
349,102393,576.0
350,102403,523.0
351,102413,549.0
352,102414,503.0
353,102415,541.0
354,102416,666.0
355,102439,594.0
356,102441,542.0
357,102443,614.0
358,102444,565.0
359,102445,632.0
360,102448,609.0
361,102449,633.0
362,102450,643.0
363,102456,656.0
364,102458,633.0
365,102459,620.0
366,102465,472.0
367,102470,632.0
368,102471,629.0
369,102475,565.0
370,102476,610.0
371,102506,716.0
372,102509,558.0
373,102519,612.0
374,102522,615.0
375,102545,518.0
376,102549,678.0
377,102562,521.0
378,102563,696.0
379,102568,654.0
380,102582,605.0
381,102592,574.0
382,102597,625.0
383,102605,542.0
384,102614,569.0
385,102617,555.0
386,102634,665.0
387,102652,586.0
388,102655,608.0
389,102671,662.0
390,102694,653.0
391,102701,653.0
392,102703,566.0
393,102704,532.0
394,102713,609.0
395,102720,638.0
396,102731,620.0
397,102733,653.0
398,102749,521.0
399,102755,619.0
400,102763,555.0
401,102770,603.0
402,102772,633.0
403,102799,669.0
404,102838,589.0
405,102854,546.0
406,102862,605.0
407,102863,540.0
408,102867,583.0
409,102868,511.0
410,102878,669.0
411,102887,645.0
412,102898,635.0
413,102904,739.0
414,102912,581.0
415,102919,547.0
416,102927,610.0
417,102932,602.0
418,102933,652.0
419,102935,509.0
420,102958,667.0
421,102969,634.0
422,102971,535.0
423,102975,614.0
424,102979,571.0
425,102982,563.0
426,102987,546.0
427,102989,650.0
428,102995,624.0
429,102996,533.0
430,103000,574.0
431,103001,561.0
432,103004,670.0
433,103010,542.0
434,103025,634.0
435,103029,665.0
436,103046,593.0
437,103056,577.0
438,103062,574.0
439,103078,528.0
440,103083,472.0
441,103092,647.0
442,103096,688.0
443,103097,637.0
444,103102,620.0
445,103112,701.0
446,103132,610.0
447,103144,661.0
448,103145,638.0
449,103146,571.0
450,103147,586.0
451,103158,549.0
452,103171,563.0
453,103173,570.0
454,103184,573.0
455,103195,657.0
456,103196,609.0
457,103206,575.0
458,103230,577.0
459,103231,626.0
460,103232,597.0
461,103239,641.0
462,103240,596.0
463,103243,619.0
464,103252,578.0
465,103258,557.0
466,103259,615.0
467,103279,533.0
468,103280,522.0
469,103286,547.0
470,103287,649.0
471,103290,528.0
472,103298,529.0
473,103315,522.0
474,103319,564.0
475,103334,557.0
476,103336,675.0
477,103345,535.0
478,103368,577.0
479,103371,619.0
480,103377,626.0
481,103398,572.0
482,103404,597.0
483,103408,708.0
484,103410,648.0
485,103418,572.0
486,103420,668.0
487,103432,588.0
488,103433,560.0
489,103436,549.0
490,103440,556.0
491,103453,569.0
492,103459,506.0
493,103460,510.0
494,103461,592.0
495,103462,562.0
496,103473,649.0
497,103474,588.0
498,103475,643.0
499,103478,662.0
500,103480,546.0
501,103484,598.0
502,103494,679.0
503,103513,675.0
504,103515,601.0
505,103516,704.0
506,103525,637.0
507,103541,649.0
508,103544,505.0
509,103562,670.0
510,103570,704.0
511,103572,616.0
512,103574,537.0
513,103575,572.0
514,103591,664.0
515,103594,567.0
516,103609,499.0
517,103613,553.0
518,103614,609.0
519,103615,596.0
520,103624,553.0
521,103625,668.0
522,103628,619.0
523,103629,581.0
524,103647,550.0
525,103648,549.0
526,103651,599.0
527,103658,574.0
528,103668,604.0
529,103669,610.0
530,103676,644.0
531,103682,607.0
532,103683,620.0
533,103689,491.0
534,103725,557.0
535,103733,710.0
536,103744,510.0
537,103762,577.0
538,103771,630.0
539,103773,522.0
540,103783,654.0
541,103784,552.0
542,103808,555.0
543,103812,634.0
544,103813,688.0
545,103814,691.0
546,103818,674.0
547,103824,593.0
548,103828,563.0
549,103830,666.0
550,103840,543.0
551,103842,618.0
552,103847,624.0
553,103848,565.0
554,103851,453.0
555,103854,668.0
556,103857,691.0
557,103861,517.0
558,103862,625.0
559,103865,615.0
560,103870,566.0
561,103876,571.0
562,103891,708.0
563,103908,627.0
564,103914,553.0
565,103918,570.0
566,103940,639.0
567,103963,598.0
568,103966,580.0
569,103971,652.0
570,103980,617.0
571,103984,716.0
572,103985,628.0
573,103998,690.0
574,104019,518.0
575,104026,517.0
576,104035,643.0
577,104044,615.0
578,104045,609.0
579,104047,602.0
580,104051,571.0
581,104058,628.0
582,104063,508.0
583,104066,548.0
584,104087,503.0
585,104089,562.0
586,104095,576.0
587,104098,598.0
588,104104,622.0
589,104110,700.0
590,104120,579.0
591,104122,504.0
592,104131,478.0
593,104132,665.0
594,104135,539.0
595,104136,555.0
596,104149,574.0
597,104150,659.0
598,104156,657.0
599,104165,566.0
600,104175,587.0
601,104179,678.0
602,104184,641.0
603,104206,574.0
604,104216,708.0
605,104230,624.0
606,104257,555.0
607,104272,648.0
608,104273,564.0
609,104278,585.0
610,104294,595.0
611,104295,631.0
612,104297,599.0
613,104298,627.0
614,104308,549.0
615,104318,622.0
616,104319,545.0
617,104320,592.0
618,104327,614.0
619,104334,618.0
620,104344,561.0
621,104350,648.0
622,104351,691.0
623,104354,578.0
624,104369,652.0
625,104376,633.0
626,104381,538.0
627,104384,544.0
628,104391,560.0
629,104394,465.0
630,104398,645.0
631,104402,546.0
632,104408,651.0
633,104409,528.0
634,104410,692.0
635,104412,599.0
636,104417,639.0
637,104424,667.0
638,104426,614.0
639,104435,634.0
640,104445,568.0
641,104458,443.0
642,104460,585.0
643,104466,595.0
644,104472,642.0
645,104473,606.0
646,104479,559.0
647,104480,522.0
648,104482,573.0
649,104499,577.0
650,104501,495.0
651,104502,566.0
652,104506,675.0
653,104510,481.0
654,104512,568.0
655,104520,611.0
656,104528,605.0
657,104529,517.0
658,104541,592.0
659,104578,536.0
660,104584,566.0
661,104588,648.0
662,104602,693.0
663,104610,601.0
664,104611,599.0
665,104618,581.0
666,104620,665.0
667,104622,579.0
668,104624,498.0
669,104625,691.0
670,104634,607.0
671,104639,625.0
672,104646,499.0
673,104647,632.0
674,104652,533.0
675,104670,619.0
676,104677,584.0
677,104685,600.0
678,104691,577.0
679,104696,625.0
680,104699,534.0
681,104712,614.0
682,104714,611.0
683,104717,536.0
684,104718,476.0
685,104740,597.0
686,104741,599.0
687,104743,501.0
688,104744,571.0
689,104747,635.0
690,104767,587.0
691,104772,720.0
692,104776,679.0
693,104779,588.0
694,104814,550.0
695,104815,574.0
696,104830,612.0
697,104831,608.0
698,104833,569.0
699,104839,534.0
700,104840,665.0
701,104860,581.0
702,104861,562.0
703,104866,642.0
704,104870,540.0
705,104877,627.0
706,104878,519.0
707,104879,589.0
708,104880,533.0
709,104899,641.0
710,104906,575.0
711,104907,630.0
712,104913,644.0
713,104916,593.0
714,104921,546.0
715,104930,627.0
716,104931,696.0
717,104936,604.0
718,104937,506.0
719,104942,556.0
720,104943,520.0
721,104969,611.0
722,104972,690.0
723,104988,639.0
724,105013,508.0
725,105015,553.0
726,105019,585.0
727,105027,614.0
728,105030,646.0
729,105035,680.0
730,105041,545.0
731,105051,657.0
732,105056,579.0
733,105067,752.0
734,105071,688.0
735,105072,611.0
736,105074,711.0
737,105091,550.0
738,105101,632.0
739,105103,569.0
740,105134,520.0
741,105139,577.0
742,105142,639.0
743,105146,518.0
744,105163,571.0
745,105168,581.0
746,105172,582.0
747,105176,687.0
748,105195,636.0
749,105196,654.0
750,105197,616.0
751,105203,549.0
752,105223,559.0
753,105227,669.0
754,105228,466.0
755,105230,719.0
756,105231,701.0
757,105239,515.0
758,105242,648.0
759,105244,639.0
760,105245,621.0
761,105248,648.0
762,105249,588.0
763,105266,628.0
764,105271,679.0
765,105276,603.0
766,105282,622.0
767,105292,636.0
768,105297,523.0
769,105332,522.0
770,105333,603.0
771,105343,580.0
772,105344,631.0
773,105345,599.0
774,105357,593.0
775,105359,565.0
776,105366,588.0
777,105367,568.0
778,105370,555.0
779,105377,591.0
780,105390,569.0
781,105399,585.0
782,105403,620.0
783,105404,577.0
784,105414,583.0
785,105417,629.0
786,105425,612.0
787,105452,609.0
788,105454,575.0
789,105456,693.0
790,105470,539.0
791,105471,547.0
792,105483,767.0
793,105493,516.0
794,105508,642.0
795,105514,636.0
796,105515,513.0
797,105528,691.0
798,105529,597.0
799,105531,578.0
800,105532,653.0
801,105558,645.0
802,105574,575.0
803,105578,544.0
804,105584,632.0
805,105595,649.0
806,105617,606.0
807,105618,490.0
808,105621,639.0
809,105625,562.0
810,105629,696.0
